Attr,Age,Dist,EmpNo,Gen,JobSat,Marital,M_Income,OT,PctSalHike,TotWY,JobSat2,Income_LY,Diff_Income
0,33,7,817,Male,3,Married,11691,No,11,14,sat,10532.0,1159.0
0,35,18,1412,Male,4,Single,9362,No,11,10,sat,8434.0,928.0
0,42,6,1911,Male,1,Married,13348,No,13,18,unsat,11812.0,1536.0
0,46,2,1204,Female,1,Married,17048,No,23,28,unsat,13860.0,3188.0
1,22,4,593,Male,3,Single,3894,No,16,4,sat,3357.0,537.0
0,24,21,1551,Male,1,Divorced,2296,No,14,2,unsat,2014.0,282.0
0,34,8,2068,Male,3,Married,4404,No,12,6,sat,3932.0,472.0
0,30,20,1084,Male,1,Married,9957,No,15,7,unsat,8658.0,1299.0
0,26,6,686,Female,4,Married,2659,Yes,13,3,sat,2353.0,306.0
1,24,3,720,Female,3,Single,4577,No,14,4,sat,4015.0,562.0
0,36,5,304,Male,2,Single,5914,No,16,16,unsat,5098.0,816.0
1,33,15,582,Male,3,Married,13610,Yes,12,15,sat,12152.0,1458.0
0,42,1,387,Male,3,Married,4907,No,25,20,sat,3926.0,981.0
0,39,9,2022,Male,4,Single,19431,No,13,21,sat,17196.0,2235.0
0,44,1,1683,Female,4,Divorced,3195,Yes,18,8,sat,2708.0,487.0
0,34,23,60,Male,3,Single,4568,No,20,10,sat,3807.0,761.0
0,30,5,197,Female,1,Divorced,3204,No,14,8,unsat,2811.0,393.0
1,58,2,918,Male,4,Divorced,2380,Yes,14,3,sat,2088.0,292.0
0,46,3,1863,Female,1,Divorced,13225,No,12,25,unsat,11808.0,1417.0
0,33,28,1549,Male,3,Married,5207,Yes,12,15,sat,4649.0,558.0
0,46,1,1069,Male,4,Divorced,19627,No,17,23,sat,16775.0,2852.0
1,32,7,1309,Male,3,Married,4883,No,18,10,sat,4138.0,745.0
0,40,8,1724,Female,1,Married,6516,Yes,16,18,unsat,5617.0,899.0
0,42,26,1242,Female,1,Married,13191,Yes,17,20,unsat,11274.0,1917.0
1,32,16,33,Female,1,Single,3919,Yes,22,10,unsat,3212.0,707.0
0,49,8,944,Female,2,Married,7403,No,11,29,unsat,6669.0,734.0
1,32,2,1692,Male,2,Single,1393,No,12,1,unsat,1244.0,149.0
0,52,3,776,Male,1,Married,16856,No,11,34,unsat,15186.0,1670.0
0,26,1,1893,Female,3,Married,2933,Yes,13,1,sat,2596.0,337.0
1,37,1,970,Male,3,Married,10609,No,11,17,sat,9558.0,1051.0
0,35,1,204,Male,2,Married,7295,No,13,10,unsat,6456.0,839.0
0,50,2,815,Male,3,Married,17639,No,16,30,sat,15206.0,2433.0
0,30,7,1224,Male,3,Divorced,3491,No,13,10,sat,3089.0,402.0
0,28,1,1834,Female,1,Married,3591,No,25,3,unsat,2873.0,718.0
0,27,3,714,Female,4,Divorced,4647,Yes,20,6,sat,3872.0,775.0
0,34,6,151,Female,2,Divorced,4505,No,15,12,unsat,3917.0,588.0
0,42,10,1408,Female,1,Married,16799,No,14,21,unsat,14736.0,2063.0
0,34,2,579,Male,3,Divorced,2768,No,12,14,sat,2471.0,297.0
1,28,1,1486,Male,3,Married,2909,No,15,5,sat,2530.0,379.0
0,38,14,1582,Male,2,Married,9924,No,11,10,unsat,8941.0,983.0
0,37,3,152,Male,4,Single,7428,No,12,12,sat,6632.0,796.0
0,45,1,336,Male,4,Married,19202,No,11,25,sat,17299.0,1903.0
0,35,25,1014,Female,3,Divorced,10388,Yes,11,16,sat,9359.0,1029.0
0,40,26,1066,Male,1,Married,8396,No,14,8,unsat,7365.0,1031.0
0,42,8,1860,Male,3,Single,3968,No,13,8,sat,3512.0,456.0
0,30,1,1989,Male,2,Married,3748,No,13,12,unsat,3317.0,431.0
0,36,3,238,Male,2,Single,2088,No,12,13,unsat,1864.0,224.0
1,26,5,848,Female,3,Married,2366,Yes,14,8,sat,2075.0,291.0
0,50,1,249,Male,3,Married,3690,No,15,5,sat,3209.0,481.0
0,30,2,198,Male,4,Single,2720,No,13,6,sat,2407.0,313.0
0,29,15,346,Male,4,Single,2340,No,19,6,sat,1966.0,374.0
0,45,28,1546,Male,4,Married,2132,No,20,8,sat,1777.0,355.0
1,31,1,1331,Female,2,Single,2302,Yes,11,3,unsat,2074.0,228.0
0,38,1,1995,Male,2,Married,4440,No,15,16,unsat,3861.0,579.0
0,50,2,905,Male,1,Divorced,17924,No,11,31,unsat,16148.0,1776.0
0,32,2,471,Female,2,Married,2370,No,13,8,unsat,2097.0,273.0
0,33,1,73,Female,4,Single,13458,Yes,12,15,sat,12016.0,1442.0
0,46,7,487,Female,3,Married,5258,No,14,7,sat,4612.0,646.0
0,45,10,544,Male,4,Married,2654,No,21,8,sat,2193.0,461.0
0,52,2,316,Female,4,Single,3212,No,15,6,sat,2793.0,419.0
0,47,16,987,Male,3,Divorced,5067,Yes,19,20,sat,4258.0,809.0
0,31,2,1721,Male,3,Married,3477,No,14,6,sat,3050.0,427.0
0,49,8,1138,Male,2,Married,13120,No,17,22,unsat,11214.0,1906.0
0,24,11,26,Female,3,Divorced,4011,No,18,5,sat,3399.0,612.0
0,32,15,1955,Female,4,Divorced,6667,No,18,9,sat,5650.0,1017.0
