SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),습도(%),month,day,hour,PM10_lag1
0.003,0.4,0.031,0.01,25.0,9.0,-4.1,0.0,2.3,39,1,2,1,25.0
0.003,0.4,0.017,0.022,29.0,12.0,-5.0,0.0,2.7,42,1,2,2,27.0
0.002,0.4,0.027,0.014,24.0,13.0,-5.8,0.0,1.9,45,1,2,3,23.0
0.003,0.4,0.031,0.01,20.0,8.0,-6.3,0.0,1.7,45,1,2,4,24.0
0.002,0.4,0.026,0.014,19.0,7.0,-6.6,0.0,1.1,40,1,2,5,26.0
0.003,0.5,0.019,0.022,21.0,8.0,-6.6,0.0,2.7,35,1,2,6,27.0
0.003,0.4,0.018,0.023,19.0,9.0,-7.4,0.0,1.5,38,1,2,7,30.0
0.003,0.5,0.015,0.026,21.0,8.0,-8.3,0.0,1.3,41,1,2,8,33.0
0.002,0.4,0.024,0.017,18.0,6.0,-7.6,0.0,2.0,39,1,2,9,35.0
0.003,0.4,0.028,0.013,25.0,12.0,-6.0,0.0,2.3,35,1,2,10,44.0
0.003,0.4,0.027,0.015,22.0,12.0,-5.3,0.0,3.2,32,1,2,11,42.0
0.003,0.4,0.03,0.013,25.0,13.0,-3.2,0.0,3.0,33,1,2,12,36.0
0.004,0.4,0.033,0.01,29.0,12.0,-2.3,0.0,2.5,31,1,2,13,29.0
0.003,0.4,0.036,0.008,43.0,18.0,-1.5,0.0,4.4,31,1,2,14,30.0
0.004,0.4,0.035,0.009,44.0,16.0,-2.3,0.0,5.2,33,1,2,15,33.0
0.004,0.4,0.032,0.011,48.0,12.0,-1.7,0.0,3.4,34,1,2,16,26.0
0.003,0.4,0.03,0.013,57.0,17.0,-2.3,0.0,4.5,35,1,2,17,28.0
0.003,0.5,0.027,0.017,57.0,16.0,-3.2,0.0,2.7,39,1,2,18,27.0
0.002,0.5,0.025,0.016,48.0,15.0,-3.8,0.0,2.8,50,1,2,19,27.0
0.003,0.4,0.027,0.013,55.0,14.0,-4.2,0.0,2.9,41,1,2,20,27.0
0.002,0.4,0.028,0.013,62.0,12.0,-5.0,0.0,2.3,39,1,2,21,26.0
0.003,0.4,0.029,0.01,65.0,14.0,-5.5,0.0,2.8,42,1,2,22,28.0
0.003,0.4,0.031,0.009,65.0,13.0,-6.1,0.0,1.9,45,1,2,23,34.0
0.002,0.4,0.029,0.008,66.0,14.0,-6.6,0.0,3.8,45,1,3,0,32.0
0.003,0.4,0.03,0.008,52.0,12.0,-7.3,0.0,2.4,48,1,3,1,25.0
0.003,0.4,0.025,0.012,48.0,13.0,-7.7,0.0,2.0,50,1,3,2,29.0
0.003,0.4,0.027,0.01,46.0,13.0,-8.0,0.0,2.2,51,1,3,3,24.0
0.003,0.4,0.026,0.011,48.0,12.0,-8.3,0.0,1.6,52,1,3,4,20.0
0.003,0.4,0.025,0.011,49.0,12.0,-8.8,0.0,1.0,53,1,3,5,19.0
0.003,0.5,0.017,0.019,47.0,14.0,-9.0,0.0,1.3,53,1,3,6,21.0
0.003,0.5,0.017,0.021,47.0,13.0,-8.7,0.0,1.1,54,1,3,7,19.0
0.003,0.4,0.018,0.021,44.0,12.0,-8.7,0.0,0.9,58,1,3,8,21.0
0.004,0.4,0.027,0.014,39.0,12.0,-7.6,0.0,1.8,57,1,3,9,18.0
0.003,0.4,0.032,0.009,36.0,12.0,-5.7,0.0,2.6,46,1,3,10,25.0
0.003,0.3,0.035,0.008,22.0,9.0,-4.2,0.0,1.9,39,1,3,11,22.0
0.003,0.4,0.032,0.011,24.0,12.0,-3.1,0.0,2.9,33,1,3,12,25.0
0.003,0.4,0.033,0.01,26.0,12.0,-2.4,0.0,3.1,30,1,3,13,29.0
0.003,0.4,0.033,0.01,27.0,11.0,-2.3,0.0,3.6,30,1,3,14,43.0
0.003,0.4,0.031,0.012,28.0,13.0,-2.4,0.0,3.7,33,1,3,15,44.0
0.004,0.5,0.028,0.016,29.0,14.0,-2.3,0.0,2.5,35,1,3,16,48.0
0.004,0.5,0.025,0.018,32.0,17.0,-2.6,0.0,1.9,36,1,3,17,57.0
0.003,0.5,0.021,0.022,38.0,18.0,-3.6,0.0,2.1,40,1,3,18,57.0
0.003,0.5,0.018,0.025,34.0,17.0,-4.4,0.0,1.1,41,1,3,19,48.0
0.003,0.6,0.013,0.03,36.0,18.0,-4.9,0.0,1.4,43,1,3,20,55.0
0.003,0.7,0.006,0.038,34.0,18.0,-5.3,0.0,0.7,45,1,3,21,62.0
0.003,0.6,0.013,0.028,36.0,19.0,-5.9,0.0,1.1,50,1,3,22,65.0
0.004,0.6,0.005,0.038,33.0,18.0,-5.3,0.0,3.2,44,1,3,23,65.0
0.003,0.6,0.011,0.031,36.0,18.0,-6.2,0.0,0.5,48,1,4,0,66.0
0.003,0.6,0.008,0.034,32.0,18.0,-6.5,0.0,1.3,49,1,4,1,52.0
0.003,0.7,0.006,0.037,31.0,19.0,-7.0,0.0,0.5,51,1,4,2,48.0
0.003,0.7,0.004,0.04,33.0,19.0,-7.1,0.0,0.9,54,1,4,3,46.0
0.003,0.7,0.01,0.033,38.0,21.0,-7.4,0.0,1.3,56,1,4,4,48.0
0.004,0.7,0.01,0.033,36.0,21.0,-8.1,0.0,1.7,52,1,4,5,49.0
0.003,0.7,0.003,0.04,38.0,22.0,-8.1,0.0,2.2,47,1,4,6,47.0
0.003,0.8,0.002,0.045,37.0,22.0,-8.3,0.0,2.4,51,1,4,7,47.0
0.003,0.9,0.003,0.047,40.0,21.0,-8.1,0.0,2.3,48,1,4,8,44.0
0.004,0.9,0.005,0.044,44.0,24.0,-7.6,0.0,2.5,48,1,4,9,39.0
0.003,0.9,0.008,0.042,46.0,27.0,-5.6,0.0,1.3,43,1,4,10,36.0
0.004,0.7,0.014,0.035,48.0,27.0,-3.0,0.0,2.4,40,1,4,11,22.0
0.004,0.6,0.02,0.025,35.0,20.0,-1.5,0.0,2.4,40,1,4,12,24.0
0.003,0.6,0.019,0.025,39.0,22.0,-0.6,0.0,1.9,41,1,4,13,26.0
0.004,0.6,0.017,0.028,44.0,24.0,-0.4,0.0,1.6,40,1,4,14,27.0
0.004,0.6,0.014,0.031,46.0,25.0,0.0,0.0,1.6,40,1,4,15,28.0
0.002,0.6,0.012,0.035,44.0,29.0,0.2,0.0,1.3,42,1,4,16,29.0
0.003,0.7,0.007,0.043,43.0,23.0,-0.3,0.0,1.2,51,1,4,17,32.0
0.004,0.7,0.003,0.051,40.0,25.0,-0.9,0.0,1.0,52,1,4,18,38.0
0.004,0.7,0.002,0.048,40.0,22.0,-0.9,0.0,1.8,49,1,4,19,34.0
0.004,0.6,0.002,0.046,46.0,26.0,-0.7,0.0,0.7,51,1,4,20,36.0
